rule_id,is_active,priority,txn_kind,fingerprint,description_clean_norm,account_name,source,direction,currency,amount_bucket,payee_canonical,category_target,notes
או_לה_לה_234,True,0,,או לה לה,,,,,,,Oh Lala,Opher food,bootstrap count=9
או_לה_לה_235,True,0,,או לה לה,,,,,,,Oh Lala,Going out and restaurants,bootstrap count=6
או_לה_לה_236,True,0,,או לה לה,,,,,,,Oh la la,Opher food,bootstrap count=2
או_לה_לה_237,True,0,,או לה לה,,,,,,,Ohlala,Going out and restaurants,bootstrap count=2
או_לה_לה_238,True,0,,או לה לה,,,,,,,Oh la la,Going out and restaurants,bootstrap count=1
או_לה_לה_אונליין_239,True,0,,או לה לה אונליין,,,,,,,Oh la la,Gifts,bootstrap count=1
אודי_גלילי_240,True,0,,אודי גלילי,,,,,,,Udi Galili,House and stuff,bootstrap count=1
אונ_241,True,0,,אונ,,,,,,,Tel Aviv University,Ready to Assign,bootstrap count=1
אונ_בן_גורי_242,True,0,,אונ בן גורי,,,,,,,BGU Salary,Ready to Assign,bootstrap count=24
אונ_בן_גורי_243,True,0,,אונ בן גורי,,,,,,,Salary Opher,Ready to Assign,bootstrap count=2
אוניברסיטת_244,True,0,,אוניברסיטת,,,,,,,BGU,University,bootstrap count=24
אופני_אדם_וחוה_245,True,0,,אופני אדם וחוה,,,,,,,Adam And Hava Bikes,House and stuff,bootstrap count=4
אופנת_רנואר_246,True,0,,אופנת רנואר,,,,,,,Renuar,Clothing,bootstrap count=1
אור_בר_גל_247,True,0,,אור בר גל,,,,,,,Or Bar Gal,Clothing,bootstrap count=2
אור_בר_גל_248,True,0,,אור בר גל,,,,,,,Or Bar Gal,Pilates,bootstrap count=1
אור_ישראל_249,True,0,,אור ישראל,,,,,,,Or Israel,Loans and transfers,bootstrap count=1
אור_ראשון_250,True,0,,אור ראשון,,,,,,,Or Rishon,House and stuff,bootstrap count=1
אור_רובין_251,True,0,,אור רובין,,,,,,,Isshin Aikido,Aikido,bootstrap count=1
אורבניקה_252,True,0,,אורבניקה,,,,,,,Urbanica,Clothing,bootstrap count=1
אורבניקה_גרנד_253,True,0,,אורבניקה גרנד,,,,,,,Urbanica,Clothing,bootstrap count=3
אורבניקה_גרנד_254,True,0,,אורבניקה גרנד,,,,,,,Clothing store,Clothing,bootstrap count=1
אורן_צביאלי_255,True,0,,אורן צביאלי,,,,,,,Isshin Aikido,Aikido,bootstrap count=5
אחוזות_החוף_מוזיאונים_256,True,0,,אחוזות החוף מוזיאונים,,,,,,,Parking Tel Aviv Science Museum,Transportation,bootstrap count=1
אחוזת_חוף_חניון_החשמל_257,True,0,,אחוזת חוף חניון החשמל,,,,,,,Parking Tel Aviv,Transportation,bootstrap count=1
אחים_ובקבוזה_טרמינל_258,True,0,,אחים ובקבוזה טרמינל,,,,,,,Ahim Bokobza,Aikido,bootstrap count=1
אחים_ובקבוזה_טרמינל_259,True,0,,אחים ובקבוזה טרמינל,,,,,,,Ahim Bokobza,Bat Mitzvah 17000,bootstrap count=1
אחים_ובקבוזה_טרמינל_260,True,0,,אחים ובקבוזה טרמינל,,,,,,,Ahim Bokobza,🛍️Groceries,bootstrap count=1
אחים_ובקבוזה_טרמינל_261,True,0,,אחים ובקבוזה טרמינל,,,,,,,Bokoboza Terminal,🛍️Groceries,bootstrap count=1
איגוד_ערים_כנרת_אמנון_262,True,0,,איגוד ערים כנרת אמנון,,,,,,,Parking Amnun beach,Summer 2024 8000,bootstrap count=4
איי_דיגיטל_סטור_263,True,0,,איי דיגיטל סטור,,,,,,,Idigital,House and stuff,bootstrap count=1
אייבורי_264,True,0,,אייבורי,,,,,,,Ivory,Birthdays,bootstrap count=1
אייבורי_265,True,0,,אייבורי,,,,,,,Ivory,Pilates,bootstrap count=1
אייס_266,True,0,,אייס,,,,,,,Ace,House and stuff,bootstrap count=13
אייס_267,True,0,,אייס,,,,,,,Ace,Auto Maintenance,bootstrap count=2
אייס_268,True,0,,אייס,,,,,,,Ace car,Auto Maintenance,bootstrap count=1
אייקון_269,True,0,,אייקון,,,,,,,Icon,Chugim parents,bootstrap count=8
אייקידו_ותרבות_יפן_270,True,0,,אייקידו ותרבות יפן,,,,,,,Zeev Erlich,Aikido,bootstrap count=4
אילנס_271,True,0,,אילנס,,,,,,,Train food,Going out and restaurants,bootstrap count=4
אילנס_272,True,0,,אילנס,,,,,,,Train food,Opher food,bootstrap count=2
אילנס_273,True,0,,אילנס,,,,,,,Ilans,Going out and restaurants,bootstrap count=1
אילנס_274,True,0,,אילנס,,,,,,,Oren Meshi Bakery,🛍️Groceries,bootstrap count=1
אילנס_275,True,0,,אילנס,,,,,,,Train food,🛍️Groceries,bootstrap count=1
אימפריית_הממתקים_בא_276,True,0,,אימפריית הממתקים בא,,,,,,,Empire of sweets,🛍️Groceries,bootstrap count=2
אימפריית_הממתקים_בא_277,True,0,,אימפריית הממתקים בא,,,,,,,Imperiyat Hamamtakim,🛍️Groceries,bootstrap count=1
אינטימה_278,True,0,,אינטימה,,,,,,,Intima,Clothing,bootstrap count=2
אינספייר_אינט_279,True,0,,אינספייר אינט,,,,,,,Inspire,Pilates,bootstrap count=1
איתי_כהן_מדריך_קפוארה_281,True,0,,איתי כהן מדריך קפוארה,,,,,,,Itai Cohen,Chugim,bootstrap count=2
איתן_נבון_282,True,0,,איתן נבון,,,,,,,Paybox,Unexplained expenses,bootstrap count=1
אל_הל_283,True,0,,אל הל,,,,,,,El halev,Aikido,bootstrap count=1
אלגו_השקיה_צמרת_284,True,0,,אלגו השקיה צמרת,,,,,,,Elgo watering,House and stuff,bootstrap count=1
אלה_אוריאן_285,True,0,,אלה אוריאן,,,,,,,Ella Tzur,Gifts,bootstrap count=1
אלו_מציאות_מזרחי_286,True,0,,אלו מציאות מזרחי,,,,,,,Elo Deals Mizrahi,House and stuff,bootstrap count=1
אלו_מציאות_מזרחי_287,True,0,,אלו מציאות מזרחי,,,,,,,Sabih Tshernichovsky Tel Aviv,Going out and restaurants,bootstrap count=1
אלונית_288,True,0,,אלונית,,,,,,,Gas Food,🛍️Groceries,bootstrap count=13
אלונית_289,True,0,,אלונית,,,,,,,Alonit,Opher food,bootstrap count=2
אלונית_290,True,0,,אלונית,,,,,,,Alonit,Going out and restaurants,bootstrap count=1
